question_index,fix_name,fix_description,reason,tag,tag_cluster
5,Update diagnosis rule to return the condition name,"Modify the diagnosis rule to output the actual diagnosis name, e.g.: 'diagnosis(X, pustular_psoriasis) :- patient(X, has_psoriasis), patient(X, treated_with(systemic_steroids)), patient(X, discontinued_treatment), symptom(X, generalized_pustules), condition(pustular_psoriasis, causes(generalized_pustules)), condition(pustular_psoriasis, triggered_by(steroid_withdrawal))'.","The current diagnosis rule only returns the patient identifier but does not specify what the diagnosis actually is. Adding the diagnosis name as a second argument makes the rule informative and medically meaningful, clearly stating that the diagnosis is pustular psoriasis.",missing diagnosis output argument,4
5,Add steroid withdrawal as a patient fact,"Change or supplement 'patient(p1, discontinued_treatment)' with 'patient(p1, steroid_withdrawal)' to more precisely describe the clinical event.","The clinical event is specifically steroid withdrawal, not just generic treatment discontinuation. This more precise fact allows the diagnosis rule to correctly match the triggering condition of pustular psoriasis caused by steroid withdrawal.",missing specific clinical fact,0
6,Fix incorrect patient weight fact,"Change patient(john_doe, 70) to patient(john_doe, weight(70)) or add a separate predicate weight(john_doe, 70). A 2-year-old child weighing 70 kg is clinically abnormal (normal is ~12-14 kg), which is a critical diagnostic clue pointing to obesity-related hip conditions. The weight should be stored distinctly from age.","The current code stores age and weight as identical predicate structures patient(john_doe, 2) and patient(john_doe, 70), making them indistinguishable. More importantly, the abnormal weight (70 kg for a 2-year-old) is a key diagnostic factor that must be represented and used in the diagnosis rule.",wrong fact structure,7
6,Fix typo in symptom predicate for Scarpa's triangle,"Change symptom(john_doe, tenderness_in_scalpas_triangle) to symptom(john_doe, tenderness_in_scarpas_triangle), and correspondingly fix condition(tenderness_in_scalpas_triangle, ...) to condition(tenderness_in_scarpas_triangle, ...).","The anatomical landmark is 'Scarpa's triangle', not 'Scalpa's triangle'. This typo would cause a mismatch between the symptom fact and any condition lookup referencing the correct spelling.",typo in predicate name,1
6,Fix incorrect diagnosis to Septic Arthritis of Hip,"Change all condition facts from hip_impingement to septic_arthritis_of_hip. The correct diagnosis for a 2-year-old presenting with limitation of abduction and internal rotation, tenderness in Scarpa's triangle, and abduction of the limb upon flexing the hip is Septic Arthritis of the Hip (or Perthes disease as secondary consideration), not hip impingement.","Hip impingement (FAI) is not a typical diagnosis for a 2-year-old. The combination of symptoms — limitation of abduction/internal rotation, Scarpa's triangle tenderness, and the limb posturing in abduction on hip flexion — are classic signs of Septic Arthritis of the Hip in a toddler.",wrong diagnosis,4
6,Fix broken diagnosis rule logic,"Rewrite the diagnosis rule to correctly chain patient -> symptom -> condition: diagnosis(Patient, Disease) :- patient(Patient, age(Age)), symptom(Patient, Symptom), condition(Symptom, Disease).","The current rule uses unrelated variables (X, Y, Z, W) that do not correctly link the patient to their symptoms and then to a condition. The variable bindings are reversed and disconnected, meaning the rule would never correctly derive a diagnosis for a specific patient.",wrong variable bindings,3
6,Add age fact with proper structure,"Change patient(john_doe, 2) to patient(john_doe, age(2)) and patient(john_doe, 70) to patient(john_doe, weight(70)) to semantically distinguish age from weight.",Using structured terms age(2) and weight(70) makes the facts semantically meaningful and allows the diagnosis rule to explicitly check for age-appropriate conditions and abnormal weight as diagnostic criteria.,ambiguous fact structure,7
8,Fix unbound variable in symptom facts,"Replace symptom(patient(X), ...) facts with a concrete patient identifier, e.g., symptom(patient(john), decreased_facial_hair). The variable X in the facts is unbound and acts as a wildcard, which is not meaningful as a fact declaration.","In Prolog, variables in facts are universally quantified, meaning symptom(patient(X), decreased_facial_hair) would match any patient, which is not the intended behavior. A specific patient atom should be used, e.g., patient1 or john.",singleton variable,31
8,Add patient fact,"Add a fact defining the patient, e.g., patient(patient1), so that the diagnosis rule can correctly reference and instantiate the patient.","The diagnosis rule calls patient(X), but there is no patient/1 fact defined anywhere in the program. Without this fact, the diagnosis rule will always fail.",missing patient fact,0
8,Fix diagnosis rule to return the condition name,"Modify the diagnosis rule to also return the condition K that matches all symptoms, e.g., diagnosis(X, K) :- patient(X), condition(K, decreased_facial_hair), condition(K, bilateral_breast_enlargement), ... so the diagnosed condition is part of the output.","The current diagnosis rule only checks if a patient exists and a condition matches, but does not expose which condition was diagnosed. Returning K allows the caller to know the diagnosis is klinefelter_syndrome.",missing output variable,22
8,Add karyotype fact for Klinefelter syndrome,"Add a fact linking Klinefelter syndrome to its karyotype, e.g., karyotype(klinefelter_syndrome, '47,XXY').","The medical problem asks for the karyotype associated with the diagnosis. The program currently has no representation of karyotypes, so it cannot answer the actual question being asked.",missing fact,6
8,Add karyotype query rule,"Add a rule that combines diagnosis and karyotype lookup, e.g., patient_karyotype(X, Karyotype) :- diagnosis(X, Condition), karyotype(Condition, Karyotype).","To fully solve the medical problem, the program needs a rule that retrieves the karyotype for the diagnosed condition, which is the final answer expected (47,XXY for Klinefelter syndrome).",missing inference rule,30
9,Fix chest_xray_pattern rule dependency,"Update the chest_xray_pattern rule to directly reference the condition fact: chest_xray_pattern :- condition(pneumonia, chest_xray_pattern), symptom(johnson_child, pneumonia).","The current rule derives chest_xray_pattern only from patient and symptom facts, but it should also verify the condition/2 fact that links pneumonia to chest_xray_pattern to maintain logical consistency with the knowledge base.",missing inference rule,30
9,Fix bacterial_infection rule to call chest_xray_pattern correctly,"Update the bacterial_infection rule to: bacterial_infection :- chest_xray_pattern, condition(bacterial_infection, common_bacterial_pneumonia).","The rule should first confirm chest_xray_pattern holds and then verify the condition fact linking bacterial_infection to common_bacterial_pneumonia, ensuring the inference chain is properly connected.",wrong predicate call order,1
9,Fix common_bacterial_pneumonia rule,"Update the common_bacterial_pneumonia rule to: common_bacterial_pneumonia :- bacterial_infection, condition(streptococcus_pneumoniae, typical_presentations).","The rule currently references condition(bacterial_infection, common_bacterial_pneumonia) which creates a circular dependency. It should confirm bacterial_infection holds and then check the condition linking streptococcus_pneumoniae to typical_presentations.",circular dependency in rule,11
9,Fix typical_presentations rule,"Update the typical_presentations rule to: typical_presentations :- common_bacterial_pneumonia, condition(streptococcus_pneumoniae, typical_presentations).","The rule should depend on common_bacterial_pneumonia being established first and then verify the condition fact for streptococcus_pneumoniae, properly closing the inference chain toward the final diagnosis.",missing inference rule,30
9,Add missing condition fact linking common_bacterial_pneumonia to typical_presentations,"Add the fact: condition(common_bacterial_pneumonia, typical_presentations).","There is no condition/2 fact connecting common_bacterial_pneumonia to typical_presentations, which breaks the inference chain. The existing fact condition(streptococcus_pneumoniae, typical_presentations) skips an intermediate step that should be explicitly represented.",missing inference rule,30
9,Add explanatory comment and query example,Add a comment at the bottom of the program showing how to query the diagnosis: % Query: ?- diagnosis(Organism). % Expected result: Organism = streptococcus_pneumoniae.,"Without a clear query example, it is not obvious how to invoke the diagnosis rule and verify that streptococcus_pneumoniae is correctly returned as the most likely causative organism.",missing usage documentation,8
11,Correct Disease Identification,"Replace 'huntingtons_disease' with 'friedreichs_ataxia' throughout the program. GAA trinucleotide repeat expansions are characteristic of Friedreich's Ataxia, not Huntington's Disease (which involves CAG repeats).","Huntington's Disease is caused by CAG trinucleotide repeats on chromosome 4, whereas GAA trinucleotide repeat expansions are the hallmark of Friedreich's Ataxia. The medical problem explicitly states GAA repeats.",wrong diagnosis,4
11,Correct Chromosome Association,"Add a fact 'chromosome(friedreichs_ataxia, 9)' and a rule linking the diagnosis to chromosome 9, replacing any reference to chromosome 12.","Friedreich's Ataxia is caused by mutations in the FXN gene located on chromosome 9 (9q21.11), not chromosome 12. The program must reflect the correct chromosomal location.",wrong chromosome fact,17
11,Fix Circular/Incorrect Rule for GAA Expansion,"Remove the circular rule 'condition(patient(X), trinucleotide_repeat_expansion(gaa)) :- condition(patient(X), huntingtons_disease)' and replace it with a proper rule: 'condition(patient(X), friedreichs_ataxia) :- symptom(patient(X), gait_disturbances), symptom(patient(X), tremors), symptom(patient(X), speech_difficulties), condition(patient(X), trinucleotide_repeat_expansion(gaa))'.",The original rule is logically circular and incorrectly links GAA expansions to Huntington's Disease. The corrected rule properly derives Friedreich's Ataxia from the combination of symptoms and GAA repeat expansion.,wrong diagnosis,4
11,Fix Diagnosis Fact,"Replace 'diagnosis(huntingtons_disease)' with 'diagnosis(friedreichs_ataxia)' and add a rule 'diagnosis(friedreichs_ataxia) :- condition(patient(_), friedreichs_ataxia), chromosome(friedreichs_ataxia, 9)'.",The diagnosis fact must reflect the correct disease (Friedreich's Ataxia) and should be derived from the condition and chromosome facts rather than being a standalone unsupported fact.,wrong diagnosis,4
11,Fix Unbound Variable in Facts,"Replace 'symptom(patient(X), ...)' and 'condition(patient(X), ...)' facts (where X is unbound) with a specific patient identifier, e.g., 'symptom(patient(p1), gait_disturbances)' or use a general predicate without the patient wrapper for generic rules.",Using an unbound variable X in facts is syntactically problematic in Prolog; facts should use ground terms or be restructured as rules with proper variable scoping.,unbound variable in facts,18
13,Update ECG finding to Mobitz Type I (Wenckebach),"Change 'symptom(ecg_first_degree_av_block, true)' to 'symptom(ecg_second_degree_av_block_mobitz_type1, true)' to reflect the correct ECG finding for this patient profile.","A well-trained marathon runner (athlete) commonly exhibits increased vagal tone, which predisposes to Mobitz Type I (Wenckebach) second-degree AV block. This is a benign, physiological finding in endurance athletes, not a first-degree AV block. The ECG in this context would show progressive PR interval prolongation followed by a dropped QRS complex.",wrong diagnosis,4
13,Update diagnosis rule to reflect Mobitz Type I AV block,"Change the diagnosis rule to check for 'symptom(ecg_second_degree_av_block_mobitz_type1, true)' and set X = 'second_degree_av_block_mobitz_type1' (Wenckebach) instead of 'first_degree_av_block'.","The diagnosis conclusion must match the updated ECG finding. The correct diagnosis for an asymptomatic endurance athlete with increased vagal tone is Mobitz Type I (Wenckebach) second-degree AV block, not first-degree AV block.",wrong diagnosis,4
13,Add athlete_vagal_tone fact and incorporate it into the diagnosis rule,"Add a fact 'symptom(athlete_vagal_tone, true)' derived from 'symptom(marathon_runner, true)', and include it as a condition in the diagnosis rule to explicitly model the physiological mechanism linking athletic training to the AV block.",The causal pathway from marathon running to Mobitz Type I AV block is through enhanced vagal (parasympathetic) tone. Making this explicit in the knowledge base improves the medical accuracy and reasoning transparency of the Prolog program.,missing inference rule,30
13,Add rule to infer athlete_vagal_tone from marathon_runner,"Add the rule: 'symptom(athlete_vagal_tone, true) :- symptom(marathon_runner, true).' to automatically derive increased vagal tone from the marathon runner fact.","This inference rule correctly models the physiological relationship between endurance athletic training and increased parasympathetic tone, which is the underlying mechanism for the Wenckebach block in this patient.",missing inference rule,30
14,Fix incorrect diagnosis condition,"The condition should be 'euthyroid_sick_syndrome' (also known as 'non-thyroidal illness syndrome') instead of 'primary_hypothyroidism'. The patient has low T3 but normal TSH (4.7 µU/mL is borderline but acceptable) and normal T4 (6 µg/dL), which is consistent with euthyroid sick syndrome following pneumonia recovery, not primary hypothyroidism.","In primary hypothyroidism, TSH would be significantly elevated and T4 would be low. Here, the pattern of low T3 with near-normal TSH and T4 in the context of systemic illness (pneumonia) is characteristic of euthyroid sick syndrome.",wrong diagnosis,4
14,Fix the elevated hormone diagnosis,"The elevated hormone should be 'reverse_t3 (rT3)' instead of 'tsh'. In euthyroid sick syndrome, the body converts T4 to reverse T3 (an inactive form) instead of active T3, leading to elevated rT3 levels. The rule2 should state diagnosis(elevated_reverse_t3) as the answer.","The question asks what additional hormone is likely elevated. In euthyroid sick syndrome, peripheral conversion of T4 shifts from producing active T3 to producing reverse T3 (rT3), which is the hallmark of this condition. TSH is not significantly elevated in this scenario.",wrong diagnosis,4
14,Fix syntactically invalid rule1 structure,"Rewrite rule1 as a proper Prolog rule using standard clause syntax. Replace the malformed nested :- operators and comma-separated conditions with a proper Prolog Horn clause: 'diagnose(euthyroid_sick_syndrome) :- symptom(decreased_t3_levels), condition(pneumonia_recovery), test_result(tsh, TSH), TSH =< 4.5, test_result(t4, T4), T4 >= 5.0, test_result(t3, T3), T3 < 100.'","The current rule1 uses invalid Prolog syntax with :- operators embedded inside a fact structure and reusing the variable name 'Value' for different test results, which would cause unification errors and syntax failures.",syntax error in rule,26
14,Fix variable reuse in rule1,"Use distinct variable names for each test result value in rule1. Replace both occurrences of 'Value' with distinct variables such as 'TSH_Value', 'T4_Value', and 'T3_Value' to avoid incorrect unification between different hormone values.","Using the same variable 'Value' for both TSH and T4 results forces Prolog to unify them to the same value (e.g., 4.7 = 6), which would always fail and make the rule unusable.",variable reuse unification error,5
14,Fix rule2 to link diagnosis to elevated reverse T3,Rewrite rule2 as: 'elevated_hormone(reverse_t3) :- diagnose(euthyroid_sick_syndrome).' to properly represent that reverse T3 is elevated as a consequence of euthyroid sick syndrome diagnosis.,"The current rule2 incorrectly concludes that TSH is elevated, and its structure does not follow valid Prolog syntax for a conditional rule. The correct clinical answer is that reverse T3 (rT3) is elevated in this condition.",wrong diagnosis,4
15,Add worsening_over_two_days symptom fact,"Add the fact 'symptom(john, worsening_over_two_days).' to represent that the patient's condition worsened over two days after antibiotic treatment.","The rule 'worsening_after_antibiotics/1' checks for 'symptom(Patient, worsening_over_two_days)' but this fact is never asserted, causing the rule to always fail.",missing symptom fact,12
15,Add new_hepatic_abscesses symptom fact,"Add the fact 'symptom(john, new_hepatic_abscesses).' to represent the CT scan finding of new hepatic abscesses.","The rule 'ct_findings/1' checks for 'symptom(Patient, new_hepatic_abscesses)' but this fact is never asserted, causing the rule to always fail.",missing symptom fact,12
15,Change diagnosis to pylephlebitis,Change the diagnosis conclusion from 'complicated_appendicitis' to 'pylephlebitis' (or 'portal_vein_thrombophlebitis') in the diagnosis rule.,"The combination of appendicitis worsening despite antibiotics and new hepatic abscesses on CT is the classic presentation of pylephlebitis (septic thrombophlebitis of the portal vein), not simply 'complicated_appendicitis'. Pylephlebitis is the most likely specific complication described in this clinical scenario.",wrong diagnosis,4
15,Add pylephlebitis explanation fact or rule,"Add a fact or comment such as 'complication_explanation(pylephlebitis, portal_vein_septic_thrombophlebitis).' to document that pylephlebitis refers to septic thrombophlebitis of the portal venous system leading to hepatic abscesses.",Adding an explanatory fact improves the knowledge base clarity and makes the Prolog program more informative and medically accurate by linking the diagnosis to its pathophysiological mechanism.,missing knowledge base documentation,8
18,Correct diagnosis to increased intracranial pressure,"Change the diagnosis from IIH (Idiopathic Intracranial Hypertension) to increased_intracranial_pressure. The combination of vomiting, morning worsening of symptoms, headaches, and mild visual field narrowing in an 11-year-old boy most likely indicates increased intracranial pressure (possibly from a space-occupying lesion like a brain tumor), not IIH. IIH typically occurs in obese young women, not in young boys.","The medical problem asks for the most likely DIRECT CAUSE of symptoms. Morning worsening is a classic sign of raised ICP (due to recumbent position during sleep increasing ICP). The combination of all symptoms points to increased intracranial pressure as the direct cause, not IIH which is a diagnosis of exclusion and epidemiologically unlikely in an 11-year-old boy.",wrong diagnosis,4
18,Fix Rule 1 - Add Patient variable and morning_worsening symptom,"Rewrite Rule 1 to properly bind the Patient variable and include morning_worsening as a key symptom: condition(Patient, increased_intracranial_pressure) :- patient(Patient, _), symptom(Patient, vomiting), symptom(Patient, morning_worsening), symptom(Patient, mild_visual_field_narrowing), condition(Patient, intact_cranial_nerves).","The original Rule 1 uses 'IIH' as if it were a patient variable, which is logically incorrect in Prolog. The variable Patient is unbound and IIH is treated as an atom rather than a condition. Morning worsening is a critical diagnostic symptom for increased ICP and must be included in the rule.",missing variable binding,3
18,Fix Rule 2 - Correct variable binding and diagnosis predicate,"Rewrite Rule 2 to properly bind variables: diagnosis(Patient, increased_intracranial_pressure) :- condition(Patient, increased_intracranial_pressure), symptom(Patient, occasional_headaches), symptom(Patient, morning_worsening).",The original Rule 2 calls condition(IIH) which does not match the predicate structure condition/2 defined in the facts. The Patient variable must be consistently used and bound throughout the rule to correctly query the knowledge base.,wrong predicate arity,1
18,Add direct cause fact linking increased ICP to symptoms,"Add a fact or rule: direct_cause(increased_intracranial_pressure, vomiting). direct_cause(increased_intracranial_pressure, morning_worsening). direct_cause(increased_intracranial_pressure, occasional_headaches). direct_cause(increased_intracranial_pressure, mild_visual_field_narrowing). And a concluding rule: most_likely_direct_cause(Patient, Cause) :- diagnosis(Patient, Cause), direct_cause(Cause, _).",The medical problem specifically asks for the most likely DIRECT CAUSE of the symptoms. The program should explicitly model the causal relationship between increased intracranial pressure and the observed symptoms to properly answer the question.,missing inference rule,30
19,Fix patient fact arity,"Change patient(62, male) to patient(62, male) and update the movement_disorder rule to correctly query the patient fact. The predicate patient/2 takes age and sex, but the rule uses patient(_, Patient) where Patient is bound to 'male', which is then used as a movement disorder subject. Separate the patient identity from the disorder predicate, e.g., use movement_disorder(hemiballismus) directly.","The movement_disorder rule calls patient(_, Patient) which binds Patient to 'male' (the second argument), making movement_disorder(male, hemiballismus) the derived fact. This is semantically incorrect — Patient should represent the patient entity, not be derived from the sex field.",wrong predicate argument binding,1
19,Correct movement_disorder rule structure,"Rewrite the movement_disorder rule to not depend on a misused patient variable. For example: movement_disorder(hemiballismus) :- condition(lacunar_stroke), condition(left_subthalamic_nucleus). And update diagnosis/1 accordingly: diagnosis(X) :- movement_disorder(X).","The current rule incorrectly uses the second argument of patient/2 (which is 'male') as the patient identifier in movement_disorder/2, leading to a logically broken predicate. Simplifying the rule removes this error.",wrong predicate argument usage,1
19,Specify laterality of hemiballismus,"Add a fact or rule that specifies the stroke is in the LEFT subthalamic nucleus, causing RIGHT-sided hemiballismus (contralateral). The condition should be condition(left_subthalamic_nucleus) leading to right_hemiballismus, since the subthalamic nucleus controls contralateral limb movement.","A lacunar stroke of the LEFT subthalamic nucleus causes contralateral (RIGHT-sided) hemiballismus. The current code does not encode this neurological laterality principle, making the diagnosis incomplete and medically inaccurate.",missing laterality encoding,14
